iter,minmax,downstairs
1,7.894468024293186,7.894468024237817
2,7.894342888291174,7.894342888237741
3,7.894218467888622,7.894218467837229
4,7.894094759419824,7.894094759370587
5,7.893971759237604,7.893971759190658
6,7.8938494637132015,7.8938494636687
7,7.893727869238612,7.893727869194283
8,7.893606972213956,7.893606972175185
9,7.8934867690730295,7.893486769037278
10,7.893367256256914,7.893367256224425
11,7.893248430227318,7.893248430198366
12,7.893130287463727,7.8931302874386216
13,7.8930128244632884,7.8930128244423745
14,7.892896037740717,7.892896037724378
15,7.892779923828173,7.892779923816842
16,7.892664479275182,7.892664479269341
17,7.8925497006485115,7.892549700648694
18,7.892435584532383,7.892435584538881
19,7.892322127538614,7.892322127540932
20,7.89220932625891,7.892209326272816
21,7.892097177352398,7.892097177369369
22,7.891985677471093,7.891985677482161
23,7.8918748232726665,7.891874823279424
24,7.891764611440422,7.891764611445939
25,7.891655038656898,7.8916550386829405
26,7.891546101679142,7.891546101708027
27,7.89143779722337,7.891437797255056
28,7.891330122039605,7.891330122074048
29,7.891223072893942,7.891223072931096
30,7.891116646573148,7.891116646608278
31,7.891010839866861,7.8910108399035455
32,7.890905649592362,7.890905649630639
33,7.890801072579096,7.8908010726190065
34,7.89069710567211,7.890697105713691
35,7.890593745731967,7.890593745775258
36,7.8904909896346505,7.8904909896796855
37,7.890388834271484,7.890388834318295
38,7.890287276549027,7.8902872765976495
39,7.890186313388998,7.890186313439459
40,7.890085941727961,7.890085941780517
41,7.8899861585201,7.889986158572575
42,7.889886960727539,7.889886960782289
43,7.889788345338424,7.889788345391126
44,7.889690309341147,7.889690309395258
45,7.889592849749188,7.889592849805499
46,7.88949596358874,7.889495963647215
47,7.889399647913613,7.88939964796023
48,7.889303899737488,7.889303899798763
49,7.889208716167977,7.889208716231316
50,7.8891140942752545,7.889114094340623
51,7.889020031156178,7.889020031223547
52,7.8889265239216675,7.888926523991001
53,7.888833569696611,7.8888335697678755
54,7.888741165619795,7.888741165692954
55,7.888649308843811,7.888649308918841
56,7.888557996535001,7.888557996611857
57,7.888467225987458,7.888467225952002
58,7.888376994057279,7.888376994132841
59,7.888287298284121,7.888287298361448
60,7.888198135779253,7.888198135858312
61,7.888109503776524,7.888109503857284
62,7.888021399523051,7.88802139960548
63,7.887933820306743,7.887933820363216
64,7.887846763317875,7.887846763403936
65,7.887760225926494,7.887760226014129
66,7.887674205404083,7.887674205493264
67,7.887588699063015,7.887588699153711
68,7.887503704228498,7.887503704320677
69,7.887419218238488,7.887419218332122
70,7.887335238443639,7.887335238538701
71,7.887251762207226,7.887251762303678
72,7.887168786905057,7.887168787002875
73,7.8870863099280815,7.887086310024591
74,7.887004328670871,7.88700432876952
75,7.886922840550772,7.886922840650709
76,7.88684184304471,7.886841843093477
77,7.886761333498364,7.886761333535342
78,7.886681309347492,7.88668130942596
79,7.88660176811899,7.886601768227053
80,7.8865227073037625,7.886522707412364
81,7.886444124358426,7.886444124467549
82,7.886366016780527,7.886366016890162
83,7.886288382079414,7.8862883821895435
84,7.886211217776184,7.886211217886798
85,7.886134521403612,7.886134521514698
86,7.886058290506096,7.886058290617637
87,7.885982522639583,7.885982522751564
88,7.885907215371512,7.885907215483921
89,7.885832366280761,7.885832366393576
90,7.885757972962256,7.88575797307077
91,7.885684033007929,7.885684033117052
92,7.88561054403555,7.885610544145217
93,7.885537503669168,7.885537503779248
94,7.8854649095437015,7.88546490965426
95,7.885392759306737,7.88539275941643
96,7.88532105061414,7.885321050722951
97,7.885249781134058,7.885249781241969
98,7.885178948545519,7.885178948652519
99,7.885108550538395,7.885108550644477
100,7.885038584813345,7.8850385849185
101,7.884969049081734,7.884969049185969
102,7.884899941065613,7.8848999411689284
103,7.884831258491646,7.884831258600042
104,7.884762999114166,7.884762999222527
105,7.884695160681793,7.884695160790101
106,7.884627740958707,7.884627741066938
107,7.884560737719465,7.884560737827589
108,7.884494148748969,7.884494148856975
109,7.884427971842417,7.884427971950273
110,7.8843622048067905,7.884362204912912
111,7.884296845453741,7.884296845560504
112,7.884231891612238,7.88423189171879
113,7.8841673411172755,7.884167341223587
114,7.884103191814694,7.884103191920747
115,7.884039441560326,7.884039441666095
116,7.883976088219921,7.88397608832538
117,7.883913129669109,7.883913129774241
118,7.883850563793351,7.883850563898138
119,7.883788388487889,7.883788388592304
120,7.883726601657685,7.883726601761714
121,7.88366520121739,7.883665201321014
122,7.883604185091293,7.883604185194493
123,7.883543551213263,7.883543551316023
124,7.88348329752671,7.883483297629011
125,7.883423421984537,7.883423422086364
126,7.883363922549087,7.883363922650427
127,7.8833047971899335,7.883304797292953
128,7.883246043892594,7.8832460439950385
129,7.883187660646814,7.883187660747099
130,7.883129645449071,7.883129645548802
131,7.883071996309887,7.883071996409047
132,7.88301471124733,7.883014711345891
133,7.88295778828858,7.882957788386531
134,7.88290122546992,7.882901225567253
135,7.882845020836668,7.8828450209333765
136,7.882789172443136,7.882789172539226
137,7.882733678352603,7.882733678448077
138,7.882678536637261,7.882678536732138
139,7.882623745378168,7.882623745472466
140,7.882569302665214,7.882569302758957
141,7.882515206597084,7.882515206690301
142,7.88246145528121,7.882461455373933
143,7.882408046833722,7.882408046925997
144,7.882354979379426,7.882354979471295
145,7.8823022510517475,7.8823022511432645
146,7.88224985999271,7.882249860083932
147,7.882197804352869,7.88219780444386
148,7.8821460822913,7.882146082382123
149,7.882094691975541,7.882094692066268
150,7.882043631581555,7.882043631672268
151,7.881992899293713,7.881992899384486
152,7.881942493307558,7.8819424933956475
153,7.8818924118156275,7.881892411906785
154,7.881842653035705,7.881842653127205
155,7.881793215182522,7.881793215274465
156,7.881744096481827,7.8817440965743195
157,7.881695295167539,7.8816952952606965
158,7.881646809481708,7.881646809575643
159,7.881598637675789,7.8815986377693115
160,7.88155077800705,7.881550778099903
161,7.881503228741455,7.881503228833654
162,7.881455988153218,7.881455988244774
163,7.88140905452451,7.881409054615439
164,7.881362426145416,7.8813624262357305
165,7.881316101309786,7.8813161014036135
166,7.881270078331195,7.881270078424913
