iter,minmax,downstairs
1,36.62254811495106,36.43555540679028
2,36.585580078850754,36.424096632777655
3,36.548607022452366,36.41310403797098
4,36.44321511765049,36.40249404019731
5,36.54793533495164,36.392185168416134
6,36.37641702024852,36.3820980655426
7,36.494479120580976,36.37215503466579
8,36.34309616781437,36.36228000426459
9,36.421790083042325,36.352397310328065
10,36.370910746131415,36.342431006660384
11,36.22290554634755,36.33230367763515
12,36.20465586558914,36.321935344542794
13,36.18538630110259,36.311241501947066
14,36.16479970200878,36.30013167589253
15,36.14252995044986,36.28850694081323
16,36.11810979409772,36.27625710891848
17,36.09091974981245,36.26325707438661
18,36.060102712849165,36.249362013894604
19,36.024412305812454,36.234400930352656
20,35.981922083494794,36.21816773143822
21,35.929410468559375,36.20040855272483
22,35.8608709488009,36.18080325661109
23,35.780916448069476,36.15893732988221
24,36.044997653968984,36.13425762260258
25,35.5358618337141,36.10599924541331
26,34.686389245252094,36.073057464586434
27,38.23887960136994,36.033747441800955
28,38.17912564824604,35.98530801399436
29,38.11887621819766,35.92274103284081
30,38.05817088973362,35.83555033838367
31,37.99705686313053,35.69534535692166
32,37.935590060426065,35.36320131453206
33,37.873836132369874,34.69083022302248
34,37.81187169482848,34.69083022302248
35,37.74978565461389,34.69083022302248
36,37.68767969264633,34.69083022302248
37,37.62567109158661,34.69083022302248
38,37.563892411520534,34.39489286006026
39,37.502493304237504,34.39489286006026
40,37.44164130562212,34.39489286006026
41,37.38152219688181,34.39489286006026
42,37.322340184185585,34.39489286006026
43,37.264317192796376,31.12703174499925
44,37.207691349196544,31.12703174499925
45,37.15271437324171,31.12703174499925
46,37.09964757338468,31.12703174499925
47,37.0487567841181,31.12703174499925
48,37.00030515471924,31.12703174499925
49,36.954545011515414,31.12703174499925
50,36.91170846287618,31.12703174499925
51,36.87199685143633,31.12703174499925
52,36.83557080402676,31.12703174499925
53,36.802540272587244,28.82499511064434
54,36.772957012417564,26.814457894973774
55,36.746809980611495,25.275908244089692
56,36.72402345582529,25.275908244089692
57,36.70445992017514,25.029019931539263
58,36.68792632794828,25.020097378051293
59,36.674183555404845,25.020097378051293
60,36.66295912005577,25.020097378051293
61,36.653959259691014,25.020097378051293
62,36.646883138397854,25.020097378051293
63,36.641433215925026,25.020097378051293
64,36.63732684427721,25.020097378051293
65,36.63430250060112,25.020097378051293
66,36.6321256105684,25.020097378051293
67,36.630590926657995,25.020097378051293
68,36.629523524441986,25.020097378051293
69,36.62877506313367,25.020097378051293
70,36.62823053784857,25.020097378051293
71,36.62779489601975,25.020097378051293
72,36.62739695221397,25.020097378051293
73,36.626986453381576,25.020097378051293
74,36.62652742807918,25.020097378051293
75,36.625998625739626,25.020097378051293
76,36.62538615374738,25.020097378051293
77,36.62469245565502,25.020097378051293
78,36.6239164808564,25.020097378051293
79,36.62307186657089,25.020097378051293
80,36.62216860033146,25.020097378051293
81,36.62122008859736,25.020097378051293
82,36.620239914155604,25.020097378051293
83,36.61924088270999,25.020097378051293
84,36.61823434068367,25.019731016608382
85,36.61722958237772,25.019731016608382
86,36.61623382886575,25.019731016608382
87,36.61525214608487,25.019731016608382
88,36.6142874907417,25.019731016608382
89,36.61334241969055,25.019731016608382
90,36.61241564846733,25.019731016608382
91,36.611509178711444,25.019731016608382
92,36.610621762613135,25.019731016608382
93,36.60975379195746,25.019731016608382
94,36.60889291003743,25.019731016608382
95,36.60807011015259,25.019731016608382
96,36.607228035483004,25.019731016608382
97,36.60651365359594,25.019731016608382
98,36.547957438654315,25.019731016608382
99,36.7374979942887,25.019731016608382
100,36.668527464618464,25.019731016608382
101,36.47830279557971,25.019731016608382
102,36.73954479446717,25.019731016608382
103,36.25627597365306,25.019731016608382
104,36.75776778462033,25.019731016608382
105,36.66224147296042,25.019731016608382
106,36.60027300382728,25.019731016608382
107,36.612421291751176,25.019731016608382
108,36.60328846541985,25.019731016608382
109,36.611820275313775,25.019731016608382
110,36.591580841863944,25.019731016608382
111,36.65447466833392,25.019731016608382
112,36.55140812115111,25.019731016608382
113,36.73449354539327,25.019731016608382
114,36.624014219745064,25.019731016608382
115,36.72357980844908,25.019731016608382
116,36.78482819660541,25.019731016608382
117,36.66080623408035,25.019731016608382
118,36.789256631449774,25.019731016608382
119,36.78236337493157,25.019731016608382
120,34.7839900222677,25.019731016608382
121,37.575077630768604,25.019731016608382
122,37.59432299788603,25.019731016608382
123,37.61276462921161,25.019731016608382
124,37.63040539573377,25.019731016608382
125,37.64725044546706,25.019731016608382
126,37.66330709030737,25.019731016608382
127,37.67858469278342,25.019731016608382
128,37.69309452162712,25.019731016608382
129,37.70684962962731,25.019731016608382
130,37.71986468774112,25.019731016608382
131,37.732155836031644,25.019731016608382
132,37.743740510425155,25.019731016608382
133,37.75463727390627,25.019731016608382
134,37.764865647961706,25.019731016608382
135,37.77444593932173,25.019731016608382
136,37.78339908056442,25.019731016608382
137,37.79174647223031,25.019731016608382
138,37.79950982960097,25.019731016608382
139,37.806711053276,25.019731016608382
140,37.81337208700693,25.019731016608382
141,37.81951481985756,25.019731016608382
142,37.82516097262047,25.019731016608382
143,37.830331995803526,25.019731016608382
144,37.83504900453223,25.019731016608382
145,37.83933270056262,25.019731016608382
146,37.84320331478949,25.019731016608382
147,37.84668055100272,25.019731016608382
148,37.84978355582478,25.019731016608382
149,37.85253088179611,25.019731016608382
150,37.85494045707677,25.019731016608382
151,37.857029576125115,25.019731016608382
152,37.85881488101941,25.019731016608382
153,37.86031236905968,25.019731016608382
154,37.86153737217261,25.019731016608382
155,37.86250457060273,25.019731016608382
156,37.86322800105289,25.019731016608382
157,37.86372106141779,25.019731016608382
158,37.86399649698515,25.019731016608382
159,37.86406650032215,25.019731016608382
160,37.86394263140235,25.019731016608382
161,37.86363587264095,25.019731016608382
162,37.86315664669995,25.019731016608382
163,37.8625148352599,25.019731016608382
164,37.86171979843884,25.019731016608382
165,37.86078039460284,25.019731016608382
166,37.859705000354595,25.019731016608382
167,37.858501526557035,25.019731016608382
168,37.85717747989898,25.019731016608382
169,37.85573989196543,25.019731016608382
170,37.85419541221981,25.019731016608382
171,37.8525503073429,25.019731016608382
172,37.85081048149804,25.019731016608382
173,37.848981489329816,25.019731016608382
174,37.84706855940543,25.019731016608382
175,37.84507660282814,25.019731016608382
176,37.84301024078472,25.019731016608382
177,37.84087381156925,25.019731016608382
178,37.83867139366137,25.019731016608382
179,37.836406779402694,25.019731016608382
180,37.834083603920256,25.019731016608382
181,37.831705204180565,25.019731016608382
182,37.82927474001781,25.019731016608382
183,37.826795172992,25.019731016608382
184,37.8242692567944,25.019731016608382
185,37.8216995482572,25.019731016608382
186,37.81908850740861,25.019731016608382
187,37.816438393495055,25.019731016608382
188,37.813751327143315,25.019731016608382
189,37.811029285161,25.019731016608382
190,37.80827411863361,25.019731016608382
191,37.80548755725408,25.019731016608382
192,37.8026712151024,25.019731016608382
193,37.79982659814726,25.019731016608382
194,37.79695511217329,25.019731016608382
195,37.79405806685696,25.019731016608382
196,37.791136683522794,25.019731016608382
197,37.78819210068414,25.019731016608382
198,37.78522537844266,25.019731016608382
199,37.782237503152885,25.019731016608382
200,37.7792293927414,25.019731016608382
201,37.77620190145686,25.019731016608382
202,37.77315582317754,25.019731016608382
203,37.77009189521738,25.019731016608382
204,37.767010803043576,25.019731016608382
205,37.76391318210641,25.019731016608382
206,37.76079962206406,25.019731016608382
207,37.75767066951244,25.019731016608382
208,37.7545268307937,25.019731016608382
209,37.75136857463085,25.019731016608382
210,37.74819633459887,25.019731016608382
211,37.74501051144071,25.019731016608382
212,37.74181147596231,25.019731016608382
213,37.7385995686386,25.019731016608382
214,37.73537510446893,25.019731016608382
215,37.73213837253428,25.019731016608382
216,37.72888964038978,25.019731016608382
217,37.72562915259008,25.019731016608382
218,37.72235713375538,25.019731016608382
219,37.71907378965,25.019731016608382
220,37.71577930846678,25.019731016608382
221,37.71247386202941,25.019731016608382
222,37.709157606917394,25.019731016608382
223,37.70583068551836,25.019731016608382
224,37.702493227012866,25.019731016608382
225,37.69914534829549,25.019731016608382
226,37.69578715483647,25.019731016608382
227,37.69241874224018,25.019731016608382
228,37.68904019377895,25.019731016608382
229,37.68565158518579,25.019731016608382
230,37.682252984371694,25.019731016608382
231,37.678844450670375,25.019731016608382
232,37.675426036078015,25.019731016608382
233,37.67199778575795,25.019731016608382
234,37.66855973843142,25.019731016608382
235,37.665111934661006,25.019731016608382
236,37.66165439414988,25.019731016608382
237,37.6581871422583,25.019731016608382
238,37.65471019451104,25.019731016608382
239,37.6512235715046,25.019731016608382
240,37.6477272861239,25.019731016608382
241,37.6442213418307,25.019731016608382
242,37.64070573714789,25.019731016608382
243,37.637180469430206,25.019731016608382
244,37.63364554216658,25.019731016608382
245,37.630100953025114,25.019731016608382
246,37.62654669545305,25.019731016608382
247,37.622982760428506,25.019731016608382
248,37.61940913826918,25.019731016608382
249,37.615825817095015,25.019731016608382
250,37.61223278375976,25.019731016608382
251,37.60863002408272,25.019731016608382
252,37.605017523301186,25.019731016608382
253,37.6013952646506,25.019731016608382
254,37.597763230966386,25.019731016608382
255,37.5941214043835,25.019731016608382
256,37.59046976608192,25.019731016608382
257,37.58680829824453,25.019731016608382
258,37.58313698310192,25.019731016608382
259,37.57945580091505,25.019731016608382
260,37.57576473350633,25.019731016608382
261,37.57206376236053,25.019731016608382
262,37.56835286984116,25.019731016608382
263,37.564632037733496,25.019731016608382
264,37.5609012484189,25.019731016608382
265,37.557160487440136,25.019731016608382
266,37.553409727280744,25.019731016608382
267,37.5496489672636,25.019731016608382
268,37.54587818663881,25.019731016608382
269,37.54209736973998,25.019731016608382
270,37.5383065095197,25.019731016608382
271,37.534505590623766,25.019731016608382
272,37.53069460248788,25.019731016608382
273,37.526873535855756,25.019731016608382
274,37.523042382808924,25.019731016608382
275,37.519201136775045,25.019731016608382
276,37.51534979283886,25.019731016608382
277,37.511488347545246,25.019731016608382
278,37.50761679914105,25.019731016608382
279,37.503735147628575,25.019731016608382
280,37.49984339484929,25.019731016608382
281,37.49594154456791,25.019731016608382
282,37.49202960255715,25.019731016608382
283,37.48810757657534,25.019731016608382
284,37.48417547890726,25.019731016608382
285,37.48023331406667,25.019731016608382
286,37.476281105908804,25.019731016608382
287,37.472318871968994,25.019731016608382
288,37.46834663087001,25.019731016608382
289,37.464364394224546,25.019731016608382
290,37.460372196475944,25.019731016608382
291,37.456370063424664,25.019731016608382
292,37.452358025139965,25.019731016608382
293,37.44833611799326,25.019731016608382
294,37.444304374088524,25.019731016608382
295,37.440262838158915,25.019731016608382
296,37.436211550842515,25.019731016608382
297,37.43215055339071,25.019731016608382
298,37.42807990709295,25.019731016608382
299,37.423999659843425,25.019731016608382
300,37.4199098702049,25.019731016608382
301,37.41581059863135,25.019731016608382
302,37.41170191127987,25.019731016608382
303,37.407583875010054,25.019731016608382
304,37.403456563992265,25.019731016608382
305,37.39932005561583,25.019731016608382
306,37.39517443143586,25.019731016608382
307,37.391019776697014,25.019731016608382
308,37.386856184012956,25.019731016608382
309,37.38268374918418,25.019731016608382
310,37.378502566703,25.019731016608382
311,37.37431274801784,25.019731016608382
312,37.37011440038875,25.019731016608382
313,37.36590763896573,25.019731016608382
314,37.361692583749516,25.019731016608382
315,37.35746936014731,25.019731016608382
316,37.35323809896379,25.019731016608382
317,37.34899893729524,25.019731016608382
318,37.344752016808165,25.019731016608382
319,37.340497482005574,25.019731016608382
320,37.33623549003333,25.019731016608382
321,37.33196620011795,25.019731016608382
322,37.32768977612132,25.019731016608382
323,37.32340638971559,25.019731016608382
324,37.31911621922339,25.019731016608382
325,37.31481944794167,25.019731016608382
326,37.310516266214165,25.019731016608382
327,37.30620687089193,25.019731016608382
328,37.301891465248644,25.019731016608382
329,37.29757025913873,25.019731016608382
330,37.29324346906688,25.019731016608382
331,37.288911318251365,25.019731016608382
332,37.28457403668099,25.019731016608382
333,37.28023186076497,25.019731016608382
334,37.27588503393656,25.019731016608382
335,37.27153380751326,25.019731016608382
336,37.26717843794175,25.019731016608382
337,37.26281919048307,25.019731016608382
338,37.25845633732586,25.019731016608382
339,37.25409015644161,25.019731016608382
340,37.249720931913544,25.019731016608382
341,37.24534895708917,25.019731016608382
342,37.240974531084426,25.019731016608382
343,37.236597959857356,25.019731016608382
344,37.23221955791601,25.019731016608382
345,37.22783964022271,25.019731016608382
346,37.2234585401957,25.019731016608382
347,37.219076587860584,25.019731016608382
348,37.21469412298871,25.019731016608382
349,37.210311491809904,25.019731016608382
350,37.20592904690153,25.019731016608382
351,37.20154714752418,25.019731016608382
352,37.197166157471095,25.019731016608382
353,37.1927864494547,25.019731016608382
354,37.188408398168896,25.019731016608382
355,37.1840323863909,25.019731016608382
356,37.17965880147168,25.019731016608382
357,37.17528803610119,25.019731016608382
358,37.170920487945274,25.019731016608382
359,37.16655656036421,25.019731016608382
360,37.16219665956027,25.019731016608382
361,37.15784119732579,25.019731016608382
362,37.15349058721084,25.019731016608382
363,37.14914524765753,25.019731016608382
364,37.14480559904971,25.019731016608382
365,37.140472068713834,25.019731016608382
366,37.13614509515027,25.019731016608382
367,37.13182509021145,25.019731016608382
368,37.12751248876603,25.019731016608382
369,37.123207729481166,25.019731016608382
370,37.118911243696644,25.019731016608382
371,37.11462347262576,25.019731016608382
372,37.11034485336614,25.019731016608382
373,37.10607583026243,25.019731016608382
374,37.10181683308358,25.019731016608382
375,37.09756827702041,25.019731016608382
376,37.09333061416817,25.019731016608382
377,37.089104283011245,25.019731016608382
378,37.08488971498105,25.019731016608382
379,37.08068732572523,25.019731016608382
380,37.076497560062585,25.019731016608382
381,37.07232083365365,25.019731016608382
382,37.0681575589147,25.019731016608382
383,37.064008157810896,25.019731016608382
384,37.05987304731299,25.019731016608382
385,37.05575263357119,25.019731016608382
386,37.05164731985209,25.019731016608382
387,37.047557504296456,25.019731016608382
388,37.04348357714217,25.019731016608382
